strain,sex,animal_id,bw_AL,bw_DR,lean_AL,lean_DR,fat_AL,fat_DR,pct_fat_AL,pct_fat_DR,lifespan_AL,lifespan_DR
ILSXISS84/TejJ,m,84_28_12,,21.4,,16.3,,4.39,,21.2,,798.0
ILSXISS84/TejJ,m,84_28_13,,25.6,,20.3,,4.72,,18.9,,929.0
ILSXISS84/TejJ,m,84_28_19,,16.3,,12.5,,2.8,,18.3,,1003.0
ILSXISS84/TejJ,m,84_28_2,23.7,,20.1,,4.7,,18.9,,900.0,
ILSXISS84/TejJ,m,84_28_20,,23.5,,17.2,,3.35,,16.3,,923.0
ILSXISS84/TejJ,m,84_28_3,25.4,,20.3,,5.45,,21.2,,972.0,
ILSXISS84/TejJ,m,84_28_4,25.0,,20.8,,4.69,,18.4,,669.0,
ILSXISS84/TejJ,m,84_28_9,24.2,,17.8,,4.61,,20.5,,842.0,
ILSXISS86/TejJ,f,86_29_12,,19.9,,14.7,,4.33,,22.8,,858.0
ILSXISS86/TejJ,f,86_29_13,,,,,,,,,,135.0
ILSXISS86/TejJ,f,86_29_14,,18.7,,13.6,,4.11,,23.2,,876.0
ILSXISS86/TejJ,f,86_29_16,,18.6,,15.2,,3.98,,20.8,,825.0
ILSXISS86/TejJ,f,86_29_4,25.3,,19.9,,5.15,,20.6,,855.0,
ILSXISS86/TejJ,f,86_29_5,21.8,,17.0,,4.48,,20.8,,984.0,
ILSXISS86/TejJ,f,86_29_6,20.8,,18.1,,4.26,,19.1,,1155.0,
ILSXISS86/TejJ,f,86_29_7,23.4,,17.7,,5.19,,22.7,,868.0,
ILSXISS86/TejJ,f,86_29_8,,20.5,,15.3,,3.69,,19.5,,888.0
ILSXISS86/TejJ,m,86_29_1,28.5,,21.7,,5.6,,20.5,,1137.0,
ILSXISS86/TejJ,m,86_29_10,28.9,,20.5,,5.4,,20.8,,931.0,
ILSXISS86/TejJ,m,86_29_11,27.3,,22.0,,4.07,,15.6,,827.0,
ILSXISS86/TejJ,m,86_29_17,,,,,,,,,,194.0
ILSXISS86/TejJ,m,86_29_19,,,,,,,,,,333.0
ILSXISS86/TejJ,m,86_29_2,26.4,,20.7,,4.97,,19.4,,1111.0,
ILSXISS86/TejJ,m,86_29_20,,,,,,,,,,125.0
ILSXISS86/TejJ,m,86_29_9,29.1,,20.6,,6.21,,23.1,,1144.0,
ILSXISS89/TejJ,f,89_29_10,29.9,,23.7,,3.37,,12.4,,604.0,
ILSXISS89/TejJ,f,89_29_11,,19.9,,14.2,,3.66,,20.5,,1131.0
ILSXISS89/TejJ,f,89_29_12,,18.2,,13.9,,3.17,,18.5,,913.0
ILSXISS89/TejJ,f,89_29_13,,20.4,,14.6,,3.44,,19.1,,1208.0
ILSXISS89/TejJ,f,89_29_14,,20.5,,14.7,,3.59,,19.7,,910.0
ILSXISS89/TejJ,f,89_29_15,,19.9,,14.4,,3.4,,19.1,,997.0
ILSXISS89/TejJ,f,89_29_6,,,,,,,,,469.0,
ILSXISS89/TejJ,f,89_29_7,24.1,,18.5,,4.02,,17.8,,902.0,
ILSXISS89/TejJ,f,89_29_8,23.4,,18.8,,3.86,,17.1,,889.0,
ILSXISS89/TejJ,f,89_29_9,20.3,,15.6,,2.84,,15.4,,903.0,
ILSXISS89/TejJ,m,89_29_1,25.2,,20.9,,4.29,,17.0,,992.0,
ILSXISS89/TejJ,m,89_29_16,,25.2,,18.6,,2.84,,13.2,,1270.0
ILSXISS89/TejJ,m,89_29_17,,27.2,,19.4,,5.07,,20.7,,1280.0
ILSXISS89/TejJ,m,89_29_18,,22.8,,17.1,,2.9,,14.5,,892.0
ILSXISS89/TejJ,m,89_29_2,23.7,,19.6,,3.56,,15.4,,1061.0,
ILSXISS89/TejJ,m,89_29_21,,22.6,,17.1,,3.05,,15.1,,1251.0
ILSXISS89/TejJ,m,89_29_22,,22.7,,15.4,,5.12,,25.0,,1250.0
ILSXISS89/TejJ,m,89_29_3,29.7,,22.1,,6.22,,22.0,,951.0,
ILSXISS89/TejJ,m,89_29_4,26.0,,21.6,,3.98,,15.5,,579.0,
ILSXISS89/TejJ,m,89_29_5,,,,,,,,,515.0,
ILSXISS90/TejJ,f,90_29_20,,22.6,,16.9,,4.45,,20.8,,1005.0
ILSXISS90/TejJ,f,90_29_21,,25.0,,18.3,,5.23,,22.2,,589.0
ILSXISS90/TejJ,f,90_29_22,,19.8,,15.6,,2.84,,15.4,,1063.0
ILSXISS90/TejJ,f,90_29_23,,24.7,,18.7,,4.77,,20.3,,1073.0
ILSXISS90/TejJ,f,90_29_24,,21.9,,17.2,,3.57,,17.2,,1087.0
ILSXISS90/TejJ,f,90_29_5,25.1,,20.1,,5.13,,20.3,,871.0,
ILSXISS90/TejJ,f,90_29_6,23.3,,19.3,,5.26,,21.4,,975.0,
ILSXISS90/TejJ,f,90_29_7,26.6,,20.0,,5.67,,22.1,,895.0,
ILSXISS90/TejJ,f,90_29_8,31.0,,22.6,,8.87,,28.2,,966.0,
ILSXISS90/TejJ,f,90_29_9,32.1,,22.7,,10.4,,31.4,,906.0,
ILSXISS90/TejJ,m,90_29_1,28.3,,23.6,,4.12,,14.8,,804.0,
ILSXISS90/TejJ,m,90_29_10,32.2,,27.1,,4.05,,13.0,,607.0,
ILSXISS90/TejJ,m,90_29_11,,23.3,,18.9,,2.43,,11.4,,562.0
ILSXISS90/TejJ,m,90_29_12,,29.0,,19.1,,2.26,,10.6,,851.0
ILSXISS90/TejJ,m,90_29_13,,,,,,,,,,388.0
ILSXISS90/TejJ,m,90_29_14,,22.9,,18.8,,2.54,,11.9,,892.0
ILSXISS90/TejJ,m,90_29_15,,22.8,,22.6,,4.63,,17.0,,825.0
ILSXISS90/TejJ,m,90_29_2,31.7,,26.5,,5.27,,16.6,,875.0,
ILSXISS90/TejJ,m,90_29_3,30.2,,24.4,,5.31,,17.9,,911.0,
ILSXISS90/TejJ,m,90_29_4,32.9,,26.2,,6.99,,21.1,,829.0,
ILSXISS92/TejJ,f,92_26_10,22.9,,17.7,,4.65,,20.8,,552.0,
ILSXISS92/TejJ,f,92_26_13,,17.6,,14.5,,3.17,,17.9,,1059.0
ILSXISS92/TejJ,f,92_26_15,,18.3,,12.9,,2.65,,17.0,,1054.0
ILSXISS92/TejJ,f,92_26_16,,15.5,,11.4,,1.65,,12.7,,1102.0
ILSXISS92/TejJ,f,92_26_19,,17.1,,13.1,,3.56,,21.4,,1083.0
ILSXISS92/TejJ,f,92_26_20,,16.6,,12.4,,2.93,,19.1,,865.0
ILSXISS92/TejJ,f,92_26_3,25.3,,19.0,,7.49,,28.2,,770.0,
ILSXISS92/TejJ,f,92_26_4,25.3,,20.2,,5.61,,21.7,,798.0,
ILSXISS92/TejJ,f,92_26_5,28.2,,20.0,,6.84,,25.5,,991.0,
ILSXISS92/TejJ,f,92_26_9,26.2,,17.4,,8.37,,32.5,,1060.0,
ILSXISS92/TejJ,m,92_26_1,36.7,,24.9,,11.6,,31.8,,813.0,
ILSXISS92/TejJ,m,92_26_11,,21.2,,17.0,,2.76,,14.0,,669.0
ILSXISS92/TejJ,m,92_26_12,,15.7,,13.3,,1.5,,10.1,,1100.0
ILSXISS92/TejJ,m,92_26_14,,22.7,,17.0,,3.5,,17.1,,1071.0
ILSXISS92/TejJ,m,92_26_17,,20.5,,16.0,,3.33,,17.2,,1152.0
ILSXISS92/TejJ,m,92_26_18,,20.6,,16.6,,3.27,,16.4,,1135.0
ILSXISS92/TejJ,m,92_26_2,33.7,,25.2,,8.87,,26.1,,952.0,
ILSXISS92/TejJ,m,92_26_6,29.0,,22.0,,7.4,,25.2,,994.0,
ILSXISS92/TejJ,m,92_26_7,31.0,,23.4,,6.91,,22.8,,1170.0,
ILSXISS92/TejJ,m,92_26_8,30.9,,23.1,,7.65,,24.9,,1100.0,
ILSXISS94/TejJ,f,94_29_10,19.9,,17.1,,2.24,,11.6,,598.0,
ILSXISS94/TejJ,f,94_29_11,21.0,,19.5,,3.91,,16.7,,699.0,
ILSXISS94/TejJ,f,94_29_12,22.1,,19.6,,3.59,,15.5,,596.0,
ILSXISS94/TejJ,f,94_29_13,25.8,,21.0,,5.12,,19.6,,863.0,
ILSXISS94/TejJ,f,94_29_14,,20.6,,15.8,,3.01,,16.0,,623.0
ILSXISS94/TejJ,f,94_29_15,,19.0,,14.9,,2.71,,15.4,,1057.0
ILSXISS94/TejJ,f,94_29_18,,19.2,,15.0,,2.76,,15.6,,642.0
ILSXISS94/TejJ,f,94_29_19,,17.2,,14.4,,2.54,,15.0,,974.0
ILSXISS94/TejJ,f,94_29_20,,17.9,,14.6,,2.99,,17.0,,1018.0
ILSXISS94/TejJ,f,94_29_9,20.9,,17.2,,2.24,,11.6,,735.0,
ILSXISS94/TejJ,m,94_29_1,21.9,,16.7,,3.32,,16.6,,718.0,
ILSXISS94/TejJ,m,94_29_16,,20.3,,15.1,,2.81,,15.7,,700.0
ILSXISS94/TejJ,m,94_29_17,,,,,,,,,,343.0
ILSXISS94/TejJ,m,94_29_2,23.5,,17.9,,5.35,,23.0,,1094.0,
ILSXISS94/TejJ,m,94_29_3,21.4,,15.9,,3.11,,16.4,,986.0,
ILSXISS94/TejJ,m,94_29_4,23.1,,16.6,,4.82,,22.6,,712.0,
ILSXISS94/TejJ,m,94_29_5,13.6,,11.4,,1.53,,11.9,,700.0,
ILSXISS94/TejJ,m,94_29_6,,,,,,,,,,245.0
ILSXISS94/TejJ,m,94_29_7,,17.9,,13.8,,1.93,,12.3,,691.0
ILSXISS94/TejJ,m,94_29_8,,19.0,,15.5,,3.14,,16.8,,779.0
ILSXISS97/TejJ,f,97_27_13,,,,,,,,,,442.0
ILSXISS97/TejJ,f,97_27_14,,,,,,,,,,190.0
ILSXISS97/TejJ,f,97_27_15,,,,,,,,,,608.0
ILSXISS97/TejJ,f,97_27_17,,,,,,,,,,427.0
ILSXISS97/TejJ,f,97_27_18,,,,,,,,,,455.0
ILSXISS97/TejJ,f,97_27_4,21.7,,16.4,,4.48,,21.4,,990.0,
ILSXISS97/TejJ,f,97_27_5,19.6,,17.1,,2.83,,14.2,,557.0,
ILSXISS97/TejJ,f,97_27_6,19.9,,15.1,,3.58,,19.1,,1000.0,
ILSXISS97/TejJ,f,97_27_7,19.7,,16.1,,3.5,,17.9,,999.0,
ILSXISS97/TejJ,f,97_27_8,23.5,,16.1,,6.03,,27.2,,1057.0,
ILSXISS97/TejJ,m,97_27_1,28.0,,20.9,,7.02,,25.1,,983.0,
ILSXISS97/TejJ,m,97_27_10,27.0,,18.8,,6.6,,26.0,,991.0,
ILSXISS97/TejJ,m,97_27_11,,,,,,,,,,424.0
ILSXISS97/TejJ,m,97_27_12,,,,,,,,,,496.0
ILSXISS97/TejJ,m,97_27_16,,,,,,,,,,346.0
ILSXISS97/TejJ,m,97_27_2,27.1,,19.1,,6.88,,26.5,,996.0,
ILSXISS97/TejJ,m,97_27_3,28.8,,19.9,,8.22,,29.3,,997.0,
ILSXISS97/TejJ,m,97_27_9,27.4,,19.5,,6.89,,26.1,,911.0,
ILSXISS98/TejJ,f,98_27_12,23.5,,17.5,,4.76,,21.4,,1021.0,
ILSXISS98/TejJ,f,98_27_13,24.9,,16.9,,7.53,,30.9,,1285.0,
ILSXISS98/TejJ,f,98_27_14,24.6,,17.2,,5.48,,24.2,,1337.0,
ILSXISS98/TejJ,f,98_27_15,,,,,,,,,,537.0
ILSXISS98/TejJ,f,98_27_16,,20.6,,15.3,,4.48,,22.6,,825.0
ILSXISS98/TejJ,f,98_27_20,,19.8,,13.1,,4.09,,23.8,,732.0
ILSXISS98/TejJ,f,98_27_21,,17.1,,13.5,,3.16,,19.0,,549.0
ILSXISS98/TejJ,f,98_27_24,,17.2,,13.3,,3.14,,19.1,,604.0
ILSXISS98/TejJ,f,98_27_8,28.4,,18.6,,8.37,,31.1,,1147.0,
ILSXISS98/TejJ,f,98_27_9,24.3,,17.1,,7.77,,31.2,,1249.0,
ILSXISS98/TejJ,m,98_27_10,30.7,,19.4,,9.29,,32.4,,1187.0,
ILSXISS98/TejJ,m,98_27_11,26.9,,18.8,,7.8,,29.4,,1209.0,
ILSXISS98/TejJ,m,98_27_17,,,,,,,,,,379.0
ILSXISS98/TejJ,m,98_27_18,,21.5,,15.8,,4.75,,23.1,,548.0
ILSXISS98/TejJ,m,98_27_19,,20.3,,15.6,,4.41,,22.0,,635.0
ILSXISS98/TejJ,m,98_27_22,,21.5,,16.5,,4.31,,20.8,,819.0
ILSXISS98/TejJ,m,98_27_23,,22.8,,15.9,,5.24,,24.8,,918.0
ILSXISS98/TejJ,m,98_27_5,29.9,,19.4,,9.33,,32.4,,1092.0,
ILSXISS98/TejJ,m,98_27_6,29.5,,20.0,,8.46,,29.7,,843.0,
ILSXISS98/TejJ,m,98_27_7,29.2,,20.2,,8.52,,29.7,,1309.0,
ILSXISS99/TejJ,f,99_27_10,25.1,,19.9,,4.47,,18.3,,640.0,
ILSXISS99/TejJ,f,99_27_11,,,,,,,,,,219.0
ILSXISS99/TejJ,f,99_27_12,,,,,,,,,,158.0
ILSXISS99/TejJ,f,99_27_13,,19.5,,13.4,,2.3,,14.6,,753.0
ILSXISS99/TejJ,f,99_27_14,,17.5,,13.4,,2.19,,14.1,,582.0
ILSXISS99/TejJ,f,99_27_17,,17.3,,13.2,,1.85,,12.3,,638.0
ILSXISS99/TejJ,f,99_27_3,27.6,,15.3,,12.0,,43.9,,887.0,
ILSXISS99/TejJ,f,99_27_4,27.2,,16.8,,9.76,,36.7,,1010.0,
ILSXISS99/TejJ,f,99_27_8,25.2,,17.5,,6.35,,26.7,,548.0,
ILSXISS99/TejJ,f,99_27_9,26.9,,19.4,,8.59,,30.7,,954.0,
ILSXISS99/TejJ,m,99_27_1,33.8,,23.4,,9.8,,29.5,,786.0,
ILSXISS99/TejJ,m,99_27_15,,28.9,,19.4,,5.78,,23.0,,574.0
ILSXISS99/TejJ,m,99_27_16,,29.5,,18.6,,6.73,,26.6,,863.0
ILSXISS99/TejJ,m,99_27_18,,28.6,,18.5,,8.29,,30.9,,1003.0
ILSXISS99/TejJ,m,99_27_19,,31.7,,20.9,,8.57,,29.1,,1014.0
ILSXISS99/TejJ,m,99_27_2,29.3,,23.2,,5.26,,18.5,,1001.0,
ILSXISS99/TejJ,m,99_27_20,,28.3,,19.8,,6.35,,24.3,,681.0
ILSXISS99/TejJ,m,99_27_5,34.0,,23.9,,9.36,,28.1,,930.0,
ILSXISS99/TejJ,m,99_27_6,30.0,,22.4,,7.81,,25.8,,907.0,
ILSXISS99/TejJ,m,99_27_7,32.5,,23.8,,8.34,,26.0,,1046.0,
