gene,systems
Nsrp1,cellular|hematopoietic system|homeostasis/metabolism|immune system|integument|vision/eye
Nss1,digestive/alimentary|endocrine/exocrine gland|immune system
Nstr1,neoplasm|nervous system
Nstr2,neoplasm
Nsun2,adipose tissue|behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|muscle|neoplasm|nervous system|reproductive system|respiratory system|skeleton|vision/eye
Nsun3,cardiovascular system|cellular|embryo|growth/size/body region|muscle
Nsun4,cardiovascular system|cellular|embryo|growth/size/body region
Nsun5,behavior/neurological|cardiovascular system|hematopoietic system|homeostasis/metabolism|immune system|nervous system|vision/eye
Nsun6,normal
Nsun7,cellular|reproductive system
Nsv1,immune system
Nt5c1a,homeostasis/metabolism
Nt5c1b,hematopoietic system|homeostasis/metabolism|reproductive system
Nt5c2,behavior/neurological|hematopoietic system|liver/biliary system|normal|renal/urinary system
Nt5c3,hematopoietic system|immune system|integument|skeleton|vision/eye
Nt5dc1,behavior/neurological|homeostasis/metabolism|integument|pigmentation|vision/eye
Nt5dc2,behavior/neurological|homeostasis/metabolism|integument|limbs/digits/tail
Nt5dc3,homeostasis/metabolism
Nt5e,behavior/neurological|cardiovascular system|craniofacial|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|renal/urinary system|reproductive system|vision/eye
Nt5el,normal
Ntan1,behavior/neurological|cellular|growth/size/body region|hematopoietic system|immune system
Ntaq1,behavior/neurological|hematopoietic system|homeostasis/metabolism|immune system|vision/eye
Ntf3,behavior/neurological|cardiovascular system|growth/size/body region|homeostasis/metabolism|muscle|nervous system|normal|reproductive system|respiratory system|vision/eye
Ntf5,behavior/neurological|cardiovascular system|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|integument|nervous system|reproductive system|vision/eye
Nthl1,cellular|homeostasis/metabolism|liver/biliary system|vision/eye
Ntm,behavior/neurological|cardiovascular system
Ntmt1,cardiovascular system|cellular|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|integument|liver/biliary system|reproductive system|skeleton
Ntn1,behavior/neurological|cellular|craniofacial|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|integument|nervous system|vision/eye
Ntn3,behavior/neurological|integument|nervous system
Ntn4,cardiovascular system|cellular|hematopoietic system|immune system|nervous system|vision/eye
Ntn5,nervous system
Ntng2,behavior/neurological|hearing/vestibular/ear
Ntrk1,behavior/neurological|cellular|growth/size/body region|hematopoietic system|immune system|integument|limbs/digits/tail|muscle|nervous system|normal|pigmentation|vision/eye
Ntrk2,adipose tissue|behavior/neurological|cellular|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|integument|liver/biliary system|nervous system|normal|reproductive system|respiratory system|skeleton|vision/eye
Ntrk3,behavior/neurological|cardiovascular system|growth/size/body region|hearing/vestibular/ear|nervous system|normal|reproductive system|respiratory system|vision/eye
Nts,adipose tissue|behavior/neurological|growth/size/body region|homeostasis/metabolism|nervous system
Ntsr1,adipose tissue|behavior/neurological|digestive/alimentary|growth/size/body region|homeostasis/metabolism|muscle|nervous system|normal
Ntsr2,behavior/neurological|nervous system
Nuak1,cellular|craniofacial|embryo|growth/size/body region|homeostasis/metabolism|muscle|nervous system|pigmentation|vision/eye
Nuak2,craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|neoplasm|nervous system|pigmentation|vision/eye
Nub1,behavior/neurological|cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|nervous system|vision/eye
Nubp1,limbs/digits/tail|respiratory system|vision/eye
Nubp2,cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|growth/size/body region|homeostasis/metabolism|limbs/digits/tail|nervous system|respiratory system|skeleton|taste/olfaction|vision/eye
Nubpl,embryo
Nuca,reproductive system|vision/eye
Nucb1,behavior/neurological|cardiovascular system|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|integument|liver/biliary system|renal/urinary system|reproductive system|skeleton|vision/eye
Nucb2,cardiovascular system|homeostasis/metabolism|immune system
Nucks1,adipose tissue|behavior/neurological|digestive/alimentary|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|renal/urinary system|respiratory system|vision/eye
Nucleolin,cellular|nervous system
Nudc,cellular|hematopoietic system|immune system|nervous system|normal|vision/eye
Nudcd2,
Nudcd3,endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|reproductive system
Nudt1,behavior/neurological|cellular|digestive/alimentary|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|neoplasm|nervous system|respiratory system
Nudt12,homeostasis/metabolism
Nudt13,cardiovascular system|homeostasis/metabolism|vision/eye
Nudt15,hematopoietic system|immune system
Nudt16l1,adipose tissue|homeostasis/metabolism
Nudt19,cardiovascular system|growth/size/body region|hematopoietic system|integument|respiratory system
Nudt2,cellular|hematopoietic system
Nudt21,homeostasis/metabolism|immune system|respiratory system
Nudt5,vision/eye
Nudt6,adipose tissue|growth/size/body region
Nudt7,cellular|immune system|skeleton
Nufip1,behavior/neurological|neoplasm
Nufip2,behavior/neurological|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|nervous system
Nuggc,cardiovascular system|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|integument|limbs/digits/tail|muscle|reproductive system
Numa1,cellular
Numb,behavior/neurological|cardiovascular system|cellular|digestive/alimentary|embryo|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|nervous system|normal|reproductive system
Numbl,behavior/neurological|cellular|embryo|growth/size/body region|hearing/vestibular/ear|nervous system|normal|reproductive system
Nup107,reproductive system
Nup133,cardiovascular system|embryo|growth/size/body region|homeostasis/metabolism|nervous system
Nup153,behavior/neurological|cardiovascular system|integument
Nup155,cardiovascular system|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|nervous system|reproductive system
Nup160,cellular|hematopoietic system
Nup205,adipose tissue|embryo|growth/size/body region|homeostasis/metabolism
Nup210,hematopoietic system|immune system|liver/biliary system|vision/eye
Nup210l,cellular|endocrine/exocrine gland|reproductive system
Nup214,embryo
Nup35,behavior/neurological|cellular|digestive/alimentary|endocrine/exocrine gland|hematopoietic system|immune system|muscle|nervous system
Nup37,behavior/neurological|growth/size/body region|limbs/digits/tail|vision/eye
Nup50,embryo|growth/size/body region|nervous system
Nup54,behavior/neurological|embryo|growth/size/body region
Nup62,adipose tissue|skeleton|vision/eye
Nup62cl,hematopoietic system|homeostasis/metabolism|immune system|vision/eye
Nup85,hematopoietic system|immune system|neoplasm
Nup88,cellular
Nup93,embryo|reproductive system
Nup98,cellular|embryo|growth/size/body region|hematopoietic system|immune system
Nupr1,cellular|endocrine/exocrine gland|homeostasis/metabolism|reproductive system
Nur35,behavior/neurological
Nur36,behavior/neurological
Nur37,behavior/neurological|nervous system
Nur67,behavior/neurological
Nus1,cardiovascular system|cellular|embryo|growth/size/body region|homeostasis/metabolism|immune system|integument|liver/biliary system|nervous system|respiratory system
Nusap1,cellular|embryo|growth/size/body region
Nutf2,cardiovascular system|vision/eye
Nutm1,adipose tissue|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|reproductive system
Nutm2,reproductive system
Nwa2,immune system
Nwd2,behavior/neurological|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|reproductive system
Nxf1,behavior/neurological|hearing/vestibular/ear|integument|nervous system|pigmentation
Nxf2,cellular|endocrine/exocrine gland|reproductive system
Nxf3,cellular|endocrine/exocrine gland|reproductive system
Nxf7,behavior/neurological
Nxn,behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|muscle|nervous system|skeleton|vision/eye
Nxnl1,cellular|hematopoietic system|homeostasis/metabolism|immune system|nervous system|vision/eye
Nxnl2,cardiovascular system|craniofacial|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|integument|muscle|nervous system|respiratory system|taste/olfaction|vision/eye
Nxpe5,hematopoietic system
Nxph1,reproductive system
Nxph3,behavior/neurological|normal
Nxph4,homeostasis/metabolism|renal/urinary system
Ny,integument
Nyap1,behavior/neurological|nervous system
Nyap2,nervous system
Nynrin,liver/biliary system
Nyx,vision/eye
Oaf,growth/size/body region
Oard1,behavior/neurological
Oas1b,immune system
Oas1c,cardiovascular system|craniofacial|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|skeleton|vision/eye
Oas1d,cellular|endocrine/exocrine gland|reproductive system
Oas1g,homeostasis/metabolism
Oas1h,reproductive system
Oas2,cellular|endocrine/exocrine gland|integument
Oasl1,homeostasis/metabolism|immune system
Oasl2,homeostasis/metabolism
Oat,behavior/neurological|growth/size/body region|homeostasis/metabolism|integument|nervous system|normal|pigmentation|renal/urinary system|vision/eye
Oaz2,behavior/neurological|hematopoietic system|homeostasis/metabolism
Oaz3,cellular|reproductive system
Obox6,normal
Obp2a,homeostasis/metabolism|integument|pigmentation
Obp2b,behavior/neurological|cardiovascular system|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|immune system|integument|renal/urinary system|reproductive system
Obq1,adipose tissue
Obq10,adipose tissue
Obq11,adipose tissue
Obq12,adipose tissue
Obq13,adipose tissue
Obq14,adipose tissue
Obq15,adipose tissue
Obq16,adipose tissue|growth/size/body region
Obq17,adipose tissue|growth/size/body region
Obq18,adipose tissue
Obq19,growth/size/body region
Obq2,adipose tissue
Obq20,adipose tissue
Obq21,adipose tissue
Obq22,adipose tissue
Obq3,growth/size/body region
Obq36,adipose tissue
Obq4,adipose tissue
Obq5,adipose tissue
Obq6,adipose tissue
Obq7,adipose tissue
Obq8,adipose tissue
Obq9,adipose tissue
Obrq13,growth/size/body region|homeostasis/metabolism|liver/biliary system
Obrq14,growth/size/body region|homeostasis/metabolism|liver/biliary system
Obrq15,growth/size/body region|homeostasis/metabolism
Obrq16,homeostasis/metabolism|liver/biliary system
Obrq17,homeostasis/metabolism
Obscn,cardiovascular system|cellular|homeostasis/metabolism|muscle
Obsl1,cellular|homeostasis/metabolism|limbs/digits/tail|muscle
Obsty1,adipose tissue|growth/size/body region|limbs/digits/tail|renal/urinary system
Obsty2,adipose tissue
Obsty3,adipose tissue|cardiovascular system|growth/size/body region
Obsty4,adipose tissue
Obsty5,adipose tissue|homeostasis/metabolism
Obwq1,adipose tissue|growth/size/body region
Obwq2,adipose tissue|growth/size/body region
Obwq3,adipose tissue|growth/size/body region
Obwq4,adipose tissue|growth/size/body region
Obwq5,adipose tissue|growth/size/body region
Oc90,hearing/vestibular/ear|normal
Oca2,adipose tissue|behavior/neurological|cellular|craniofacial|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|normal|pigmentation|renal/urinary system|reproductive system|vision/eye
Och,integument|pigmentation
Ociad1,cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|renal/urinary system|skeleton
Ociad2,homeostasis/metabolism
Ocln,behavior/neurological|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|immune system|limbs/digits/tail|muscle|nervous system|reproductive system|skeleton
Ocm,behavior/neurological|hearing/vestibular/ear|nervous system
Ocrl,growth/size/body region|homeostasis/metabolism|normal|renal/urinary system
Ocstamp,hematopoietic system|homeostasis/metabolism|immune system|skeleton
Odad1,
Odad2,cardiovascular system|cellular|digestive/alimentary|growth/size/body region|hematopoietic system|immune system|muscle|nervous system|renal/urinary system|reproductive system|respiratory system
Odad3,cardiovascular system|cellular|craniofacial|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|nervous system|reproductive system|respiratory system|skeleton
Odad4,cardiovascular system|cellular|embryo|growth/size/body region|nervous system|respiratory system
Odaph,craniofacial|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|skeleton
Odc1,cardiovascular system|cellular|embryo|growth/size/body region|normal
Odf1,cellular|homeostasis/metabolism|reproductive system
Odf2,cellular|digestive/alimentary|embryo|growth/size/body region|hearing/vestibular/ear|immune system|nervous system|reproductive system|respiratory system
Odf2l,renal/urinary system
Odf4,cardiovascular system|cellular|endocrine/exocrine gland|growth/size/body region|renal/urinary system|reproductive system
Ods,integument|normal|pigmentation|reproductive system|vision/eye
Odsm1,reproductive system
Ofact,behavior/neurological
Ofcc1,behavior/neurological|hematopoietic system|homeostasis/metabolism|limbs/digits/tail
Ofd1,cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|growth/size/body region|limbs/digits/tail|nervous system|renal/urinary system|respiratory system|skeleton
Oga,cellular|growth/size/body region|respiratory system
Ogdh,adipose tissue|behavior/neurological|growth/size/body region|hematopoietic system|immune system|normal
Ogdhl,behavior/neurological|reproductive system
Ogfod1,homeostasis/metabolism|integument|limbs/digits/tail|normal|skeleton
Ogfod3,behavior/neurological|nervous system
Ogg1,behavior/neurological|cellular|endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|immune system|neoplasm|nervous system|normal|reproductive system|respiratory system
Ogn,behavior/neurological|cardiovascular system|hematopoietic system|homeostasis/metabolism|immune system|integument|vision/eye
Ogt,adipose tissue|behavior/neurological|cellular|craniofacial|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|nervous system|normal|reproductive system|skeleton
Oip5os1,normal
Oit3,homeostasis/metabolism|renal/urinary system
Ola1,embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|liver/biliary system|respiratory system
Olah,growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|renal/urinary system
Olfm1,behavior/neurological|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|integument|nervous system|reproductive system|taste/olfaction
Olfm2,behavior/neurological|nervous system|vision/eye
Olfm4,digestive/alimentary|homeostasis/metabolism|immune system
Olfml2b,behavior/neurological
Olfml3,normal
Olig1,behavior/neurological|cellular|growth/size/body region|homeostasis/metabolism|integument|nervous system
Olig2,adipose tissue|behavior/neurological|cellular|growth/size/body region|muscle|neoplasm|nervous system|respiratory system|skeleton|vision/eye
Olig3,cellular|homeostasis/metabolism|nervous system|respiratory system
Olr1,cardiovascular system|homeostasis/metabolism|immune system|muscle|normal
Om,cellular|embryo|reproductive system
Oma1,adipose tissue|cardiovascular system|cellular|growth/size/body region|homeostasis/metabolism|immune system|liver/biliary system|muscle
Omd,behavior/neurological
Omg,homeostasis/metabolism|normal
Omp,behavior/neurological|cellular|craniofacial|growth/size/body region|homeostasis/metabolism|nervous system|normal|respiratory system|taste/olfaction
Onecut1,cardiovascular system|cellular|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|immune system|liver/biliary system|vision/eye
Onecut2,endocrine/exocrine gland|liver/biliary system
Onecut3,endocrine/exocrine gland
Ooep,cellular|embryo|reproductive system
Oosp1,normal
Oosp2,normal
Oosp3,normal
Opa1,adipose tissue|behavior/neurological|cardiovascular system|cellular|craniofacial|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|muscle|nervous system|vision/eye
Opa3,adipose tissue|behavior/neurological|cardiovascular system|cellular|craniofacial|growth/size/body region|homeostasis/metabolism|liver/biliary system|muscle|nervous system|skeleton|vision/eye
Opalin,behavior/neurological
Ophn1,behavior/neurological|cellular|growth/size/body region|integument|nervous system|pigmentation|reproductive system
Oplah,behavior/neurological|cardiovascular system|hematopoietic system|homeostasis/metabolism|vision/eye
Opn1mw,vision/eye
Opn1sw,nervous system|vision/eye
Opn3,adipose tissue|behavior/neurological|hematopoietic system|homeostasis/metabolism|immune system|vision/eye
Opn4,behavior/neurological|cellular|homeostasis/metabolism|nervous system|normal|vision/eye
Opn5,behavior/neurological|vision/eye
Opr1,nervous system|vision/eye
Oprd1,behavior/neurological|homeostasis/metabolism|nervous system
Oprk1,behavior/neurological|digestive/alimentary|endocrine/exocrine gland|homeostasis/metabolism|nervous system|reproductive system
Oprl1,behavior/neurological|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|nervous system|normal|vision/eye
Oprm1,adipose tissue|behavior/neurological|cellular|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|nervous system|normal|reproductive system
Optc,cardiovascular system|vision/eye
Optn,behavior/neurological|cellular|homeostasis/metabolism|nervous system|vision/eye
Or10a2,nervous system
Or10a4,cellular|craniofacial|growth/size/body region|nervous system|respiratory system|taste/olfaction
Or10a5,nervous system
Or10ad1c,behavior/neurological
Or10j5,craniofacial|growth/size/body region|nervous system|respiratory system|taste/olfaction
Or12d17,adipose tissue|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|liver/biliary system
Or1e1c,digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|reproductive system
Or1e21,endocrine/exocrine gland|renal/urinary system|reproductive system|respiratory system|vision/eye
Or1e32,digestive/alimentary|endocrine/exocrine gland|homeostasis/metabolism|immune system|integument|vision/eye
Or2b4,craniofacial|growth/size/body region|nervous system|normal|respiratory system|taste/olfaction
Or2l13b,hematopoietic system|homeostasis/metabolism
Or2y1g,homeostasis/metabolism|renal/urinary system
Or4e5,craniofacial|growth/size/body region|nervous system|respiratory system|taste/olfaction
Or4m1,adipose tissue|behavior/neurological|cellular|growth/size/body region|homeostasis/metabolism|liver/biliary system|reproductive system
Or51e1,behavior/neurological|cardiovascular system|homeostasis/metabolism|muscle
Or51e2,cardiovascular system|craniofacial|growth/size/body region|nervous system|respiratory system|taste/olfaction
Or55b10,craniofacial|growth/size/body region|nervous system|normal|respiratory system|taste/olfaction
Or55b4,homeostasis/metabolism
Or5an6,behavior/neurological
Or5ar1,behavior/neurological
Or5b112,homeostasis/metabolism
Or5d18,nervous system
Or6b9,nervous system
Or8a1,cellular|craniofacial|growth/size/body region|nervous system|respiratory system|taste/olfaction
Or8a1b,cellular|craniofacial|growth/size/body region|nervous system|normal|respiratory system|taste/olfaction
Or8h8,vision/eye
Or9g4,cardiovascular system|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|renal/urinary system|reproductive system
Orai1,cardiovascular system|cellular|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|nervous system|reproductive system|vision/eye
Orai2,cellular|growth/size/body region|hematopoietic system|immune system
Orai3,cellular|hematopoietic system|homeostasis/metabolism|immune system|vision/eye
Orc1,adipose tissue|behavior/neurological|cellular|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|liver/biliary system|normal|skeleton
Orc2,
Orc3,cellular|nervous system|skeleton
Orc4,cellular|reproductive system
Orc6,behavior/neurological|embryo|homeostasis/metabolism|vision/eye
Orch4,endocrine/exocrine gland|immune system|reproductive system
Orch5,endocrine/exocrine gland|immune system|reproductive system
Orgwq1,cardiovascular system|growth/size/body region|hematopoietic system|immune system|renal/urinary system
Orgwq2,growth/size/body region|hematopoietic system|immune system
Orgwq3,growth/size/body region|liver/biliary system
Orgwq4,cardiovascular system|growth/size/body region|liver/biliary system
Orgwq5,cardiovascular system|renal/urinary system
Orgwq6,growth/size/body region|hematopoietic system|immune system
Orgwq7,growth/size/body region|hematopoietic system|immune system|liver/biliary system|renal/urinary system
Orgwq8,growth/size/body region|hematopoietic system|immune system|liver/biliary system|renal/urinary system
Orgwq9,cardiovascular system|growth/size/body region|renal/urinary system
Orm1,behavior/neurological|homeostasis/metabolism|muscle
Orm2,growth/size/body region|homeostasis/metabolism|immune system|liver/biliary system|renal/urinary system
Ormdl1,growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system
Ormdl2,cellular|hematopoietic system|homeostasis/metabolism|immune system
Ormdl3,cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system
Orq1,reproductive system
Orq2,reproductive system
Orq3,reproductive system
Os,embryo|homeostasis/metabolism|immune system|limbs/digits/tail|renal/urinary system|skeleton
Os9,craniofacial|growth/size/body region|skeleton
Osbp,behavior/neurological|embryo|hematopoietic system|immune system|integument|reproductive system|skeleton
Osbp2,cellular|reproductive system
Osbpl10,vision/eye
Osbpl11,adipose tissue|growth/size/body region|homeostasis/metabolism|skeleton
Osbpl1a,behavior/neurological
Osbpl2,cellular|hearing/vestibular/ear|nervous system
Osbpl3,adipose tissue|growth/size/body region|skeleton
Osbpl8,behavior/neurological|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|nervous system|skeleton|vision/eye
Oscar,behavior/neurological|cellular|hematopoietic system|immune system|skeleton
Oscp1,endocrine/exocrine gland|reproductive system
Oser1,embryo|growth/size/body region|nervous system
Osgep,
Osm,behavior/neurological|cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|nervous system|skeleton
Osmr,adipose tissue|behavior/neurological|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system
Osr1,cardiovascular system|cellular|embryo|endocrine/exocrine gland|homeostasis/metabolism|limbs/digits/tail|normal|renal/urinary system|reproductive system|respiratory system|skeleton|vision/eye
Osr2,craniofacial|digestive/alimentary|embryo|growth/size/body region|hearing/vestibular/ear|muscle|normal|respiratory system|skeleton|vision/eye
Ossc1,neoplasm
Ossc2,neoplasm
Ossc3,neoplasm|skeleton
Ostf1,behavior/neurological|cardiovascular system|skeleton|vision/eye
Ostm1,adipose tissue|behavior/neurological|craniofacial|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|pigmentation|skeleton|vision/eye
Ostn,behavior/neurological|cellular|homeostasis/metabolism|muscle
Otc,behavior/neurological|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|nervous system|pigmentation|renal/urinary system|reproductive system
Otoa,behavior/neurological|hearing/vestibular/ear|hematopoietic system|nervous system
Otof,behavior/neurological|hearing/vestibular/ear|nervous system
Otog,behavior/neurological|hearing/vestibular/ear|homeostasis/metabolism|integument|nervous system|reproductive system
Otogl,behavior/neurological|hearing/vestibular/ear|integument|pigmentation
Otol1,reproductive system
Otop1,behavior/neurological|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|nervous system
Otop2,behavior/neurological|cellular|nervous system|vision/eye
Otos,hearing/vestibular/ear|nervous system|skeleton
Otp,adipose tissue|behavior/neurological|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|nervous system|skeleton
Ots1,endocrine/exocrine gland|growth/size/body region|reproductive system
Otub1,behavior/neurological|cardiovascular system|craniofacial|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|respiratory system|skeleton|vision/eye
Otub2,homeostasis/metabolism|neoplasm
Otud1,homeostasis/metabolism|immune system
Otud3,immune system
Otud4,embryo|growth/size/body region
Otud5,digestive/alimentary|embryo|endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|immune system
Otud6a,behavior/neurological|hematopoietic system|homeostasis/metabolism|immune system
Otud6b,cardiovascular system|growth/size/body region|hematopoietic system|immune system
Otud7a,behavior/neurological|craniofacial|growth/size/body region|nervous system|skeleton
Otud7b,cardiovascular system|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|skeleton
Otulin,cardiovascular system|cellular|craniofacial|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|neoplasm|nervous system|skeleton
Otx1,behavior/neurological|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|nervous system|reproductive system|skeleton|vision/eye
Otx2,behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|muscle|nervous system|normal|pigmentation|reproductive system|respiratory system|skeleton|taste/olfaction|vision/eye
Otx2m1,craniofacial|growth/size/body region|skeleton
Otx2m2,craniofacial|growth/size/body region|skeleton
Ovch2,cellular|reproductive system
Ovol1,cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|integument|pigmentation|renal/urinary system|reproductive system
Ovol2,cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|growth/size/body region|hearing/vestibular/ear|muscle|nervous system|vision/eye
Oxa1l,behavior/neurological|cardiovascular system
Oxct1,cellular|homeostasis/metabolism|muscle|nervous system
Oxgr1,homeostasis/metabolism|immune system|renal/urinary system
Oxr1,behavior/neurological|cellular|growth/size/body region|hematopoietic system|nervous system
Oxsr1,cardiovascular system|hematopoietic system|homeostasis/metabolism|immune system|renal/urinary system
Oxt,adipose tissue|behavior/neurological|cardiovascular system|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|integument|nervous system|reproductive system
Oxtr,behavior/neurological|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|integument|nervous system|normal|reproductive system
P2rx1,cardiovascular system|cellular|reproductive system
P2rx2,behavior/neurological|cardiovascular system|cellular|endocrine/exocrine gland|hearing/vestibular/ear|homeostasis/metabolism|immune system|nervous system|reproductive system|respiratory system
P2rx3,behavior/neurological|cardiovascular system|immune system|nervous system|respiratory system
P2rx4,cardiovascular system|digestive/alimentary|hematopoietic system|homeostasis/metabolism|immune system|muscle|nervous system|renal/urinary system|skeleton
P2rx5,behavior/neurological|hematopoietic system|immune system
P2rx6,behavior/neurological|nervous system
P2rx7,behavior/neurological|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|limbs/digits/tail|skeleton|vision/eye
P2ry1,hematopoietic system|homeostasis/metabolism
P2ry12,hematopoietic system|homeostasis/metabolism|normal
P2ry13,digestive/alimentary|homeostasis/metabolism|liver/biliary system|skeleton
P2ry14,adipose tissue|cardiovascular system|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|limbs/digits/tail|muscle|respiratory system|skeleton
P2ry2,cardiovascular system|cellular|homeostasis/metabolism|muscle|nervous system
P2ry4,digestive/alimentary
P2ry6,cardiovascular system|cellular|hematopoietic system|immune system|muscle|respiratory system
P3h1,adipose tissue|behavior/neurological|cardiovascular system|growth/size/body region|homeostasis/metabolism|integument|limbs/digits/tail|muscle|skeleton
P3h2,behavior/neurological|craniofacial|growth/size/body region|homeostasis/metabolism|vision/eye
P3h3,hematopoietic system|homeostasis/metabolism|integument
P3h4,integument|muscle|skeleton
P4ha1,cardiovascular system|cellular|embryo|growth/size/body region|integument|limbs/digits/tail
P4ha3,cardiovascular system
P4hb,embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system
P4htm,hematopoietic system|homeostasis/metabolism|renal/urinary system|vision/eye
Pa2g4,cellular|growth/size/body region|hematopoietic system|limbs/digits/tail|reproductive system
Paam1,immune system
Paam2,immune system
Pabir1,cardiovascular system|embryo|growth/size/body region|homeostasis/metabolism|muscle
Pabir2,behavior/neurological|cardiovascular system|craniofacial|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|integument|limbs/digits/tail|normal|reproductive system|skeleton
Pabpc1l,cellular|endocrine/exocrine gland|hematopoietic system|reproductive system
Pabpc2,normal
